name,birthday,city,nationality
Marlon Brando,03-04-1924,EUA
Robert De Niro,17-08-1943,EUA
Al Pacino,25-04-1940,EUA
Tom Hanks,09-07-1956,EUA
Leonardo DiCaprio,11-11-1974,EUA
Denzel Washington,28-12-1954,EUA
Anthony Hopkins,31-12-1937,Reino Unido
Jack Nicholson,22-04-1937,EUA
Morgan Freeman,01-06-1937,EUA
Daniel Day-Lewis,29-04-1957,Reino Unido
Johnny Depp,09-06-1963,EUA
Christian Bale,30-01-1974,Reino Unido
Brad Pitt,18-12-1963,EUA
Tom Cruise,03-07-1962,EUA
Joaquin Phoenix,28-10-1974,Porto Rico
Gary Oldman,21-03-1958,Reino Unido
Heath Ledger,04-04-1979,Austrália
Philip Seymour Hoffman,23-07-1967,EUA
Samuel L. Jackson,21-12-1948,EUA
Robert Downey Jr.,04-04-1965,EUA
Matt Damon,08-10-1970,EUA
Russell Crowe,07-04-1964,Nova Zelândia
Harrison Ford,13-07-1942,EUA
Sean Connery,25-08-1930,Reino Unido
Clint Eastwood,31-05-1930,EUA
Meryl Streep,22-06-1949,EUA
Cate Blanchett,14-05-1969,Austrália
Viola Davis,11-08-1965,EUA
Natalie Portman,09-06-1981,Israel
Charlize Theron,07-08-1975,África do Sul
Scarlett Johansson,22-11-1984,EUA
Anne Hathaway,12-11-1982,EUA
Emma Stone,06-11-1988,EUA
Nicole Kidman,20-06-1967,EUA
Javier Bardem,01-03-1969,Espanha
Penélope Cruz,28-04-1974,Espanha
Michael Fassbender,02-04-1977,Alemanha
Edward Norton,18-08-1969,EUA
Jake Gyllenhaal,19-12-1980,EUA
Timothée Chalamet,27-12-1995,EUA
Benedict Cumberbatch,19-07-1976,Reino Unido
Idris Elba,06-09-1972,Reino Unido
Chris Hemsworth,11-08-1983,Austrália
Tilda Swinton,05-11-1960,Reino Unido
Mahershala Ali,16-02-1974,EUA
Jodie Foster,19-11-1962,EUA
Brie Larson,01-10-1989,EUA
Lupita Nyong'o,01-03-1983,México
Florence Pugh,03-01-1996,Reino Unido
